"","","","Cavity 1","","","","","","Cavity 2","","","","","","Cavity 3","","","","","","Cavity 4","","","","","","Cavity 5","","","","","","Cavity 6","","","","","","Cavity 7","","",""
Row#,Position,MC,SG,X,dF,ddB,Position,MC,SG,X,dF,ddB,Position,MC,SG,X,dF,ddB,Position,MC,SG,X,dF,ddB,Position,MC,SG,X,dF,ddB,Position,MC,SG,X,dF,ddB,Position,MC,SG,X,dF,ddB
1,"","","","","","",0.0547795124623391,"","",0.197450231878895,-382094.52430141,-0.412053115055471,0.0821692686935086,"","",0.173664609240481,-377170.269639552,-0.357646070696511,0.136948781155848,"","",0.146902981387092,-352174.712197006,-0.282550306784845,0.164338537387017,"","",0.191956715542424,-322363.785811782,-0.33798939071275,0.219118049849356,"","",0.280089367839213,-304641.139282107,-0.466146457970162,"","","","","",""
