"Data for sheet#",2019022513255206,,"date=",19:20:25 HH:20:SS
"AvgMoe", "AvgSG", "AvgMC", "AvgVel", "AvgUPT", "Width", "Skew", "AvgThick", "Temp", "PkMoisture", "pkDensity"
1.8255776086511, 0.521129491299677, 5.8513222568395, 4906.43488413006, 452.526482108108, 60, 0.668165384959326, 0.124523588969977, 67.0736857345727, 6.4314614797193, 0.573705775319651

"Wheel data"
"pos","EffVel","effUPT","LeftVel","LeftUPT","RightVel","RightUPT"
0,4990.55159548791,444.598683,4737.81719152514,235.5675525,5243.28599945069,209.0311305
0.032258064516129,4994.78517016675,444.1784415,4746.28434088281,235.147311,5243.28599945069,209.0311305
0.0967741935483871,4997.07815505749,443.7582,4771.86835167223,233.8865865,5222.28795844274,209.8716135
0.161290322580645,4995.26778541302,443.7582,4789.07814049764,233.0461035,5201.4574303284,210.7120965
0.354838709677419,5000.46501065198,443.3379585,4789.07814049764,233.0461035,5211.85188080632,210.291855
0.516129032258065,5032.7082780704,440.396268,4832.65064234197,230.944896,5232.76591379884,209.451372
0.580645161290323,5055.68484834933,438.2950605,4868.08369724797,229.26393,5243.28599945069,209.0311305
0.67741935483871,5042.41629985136,439.1355435,4904.04018114467,227.582964,5180.79241855805,211.5525795
0.806451612903226,5051.50538272941,438.2950605,4922.21834690077,226.742481,5180.79241855805,211.5525795
0.967741935483871,5069.8872053296,436.6140945,4958.98199210114,225.061515,5180.79241855805,211.5525795
1.03225806451613,5078.29494867776,435.7736115,4996.29893917039,223.380549,5160.29095818513,212.3930625
1.19354838709677,5083.00352704354,435.35337,5005.71609590196,222.9603075,5160.29095818513,212.3930625
1.29032258064516,5062.74354102003,437.034336,5005.71609590196,222.9603075,5119.7709861381,214.0740285
1.38709677419355,5057.72816173071,437.4545775,5005.71609590196,222.9603075,5109.74022755946,214.49427
1.45161290322581,5067.19876907272,436.6140945,5024.65731058598,222.1198245,5109.74022755946,214.49427
1.51612903225806,5091.5903205189,434.512887,5053.33943677213,220.8591,5129.84120426566,213.653787
1.58064516129032,5106.09604903408,433.2521625,5082.35089380249,219.5983755,5129.84120426566,213.653787
1.64516129032258,5076.17904000476,435.7736115,5082.35089380249,219.5983755,5070.00718620703,216.175236
1.74193548387097,5081.02396382273,435.35337,5101.87763854052,218.7578925,5060.17028910495,216.5954775
1.74193548387097,5095.81050608914,434.0926455,5131.45072307332,217.497168,5060.17028910495,216.5954775
1.74193548387097,5085.96324882778,434.9331285,5121.55500820599,217.9174095,5050.37148944957,217.015719
1.83870967741935,5090.91110626145,434.512887,5131.45072307332,217.497168,5050.37148944957,217.015719
1.96774193548387,5081.16901183953,435.35337,5131.45072307332,217.497168,5030.88730060575,217.856202
2.09677419354839,5056.81933371027,437.4545775,5111.69738654008,218.337651,5001.94128088046,219.1169265
2.16129032258065,5009.22563958183,441.6569925,5092.09554635591,219.178134,4926.35573280775,222.4788585
2.2258064516129,4985.04907325578,443.7582,5043.74241370381,221.2793415,4926.35573280775,222.4788585
2.35483870967742,4975.7786754981,444.598683,5043.74241370381,221.2793415,4907.81493729239,223.3193415
2.41935483870968,4961.49187818798,445.8594075,5015.16881908357,222.540066,4907.81493729239,223.3193415
2.51612903225806,4952.05693823139,446.6998905,4996.29893917039,223.380549,4907.81493729239,223.3193415
2.61290322580645,4947.44785770278,447.120132,4996.29893917039,223.380549,4898.59677623517,223.739583
2.70967741935484,4985.47058342935,443.7582,4949.73969213336,225.4817565,5021.20147472533,218.2764435
2.80645161290323,5009.31518053837,441.6569925,4968.25887162717,224.6412735,5050.37148944957,217.015719
2.93548387096774,5034.3611098303,439.555785,4958.98199210114,225.061515,5109.74022755946,214.49427
3,4910.44429522605,450.482064,4949.73969213336,225.4817565,4871.14889831873,225.0003075
3.09677419354839,4887.77921783677,452.5832715,4940.53177874062,225.901998,4835.02665693291,226.6812735
3.19354838709677,4892.92756547359,452.16303,4977.57052514146,224.221032,4808.28460580573,227.941998
3.25806451612903,4878.8487362595,453.4237545,4940.53177874062,225.901998,4817.16569377839,227.5217565
3.35483870967742,4865.78821746604,454.684479,4949.73969213336,225.4817565,4781.83674279872,229.2027225
3.48387096774194,4852.22169322783,455.9452035,4931.35806037303,226.3222395,4773.08532608263,229.622964
3.61290322580645,4829.85921054349,458.046411,4904.04018114467,227.582964,4755.67823994232,230.463447
3.61290322580645,4843.51815015767,456.7856865,4931.35806037303,226.3222395,4755.67823994232,230.463447
3.67741935483871,4834.04334083332,457.6261695,4895.00135558401,228.0032055,4773.08532608263,229.622964
3.80645161290323,4838.56275361365,457.205928,4904.04018114467,227.582964,4773.08532608263,229.622964
3.96774193548387,4798.9440357918,460.9881015,4868.08369724797,229.26393,4729.80437433563,231.7241715
4.03225806451613,4799.13274992493,460.9881015,4877.02329618761,228.8436885,4721.24220366225,232.144413
4.19354838709677,4781.35133222824,462.6690675,4841.46046079423,230.5246545,4721.24220366225,232.144413
4.35483870967742,4764.19566314236,464.3500335,4832.65064234197,230.944896,4695.74068394274,233.4051375
4.45161290322581,4738.85885820185,466.8714825,4823.8728274263,231.3651375,4653.84488897741,235.506345
4.51612903225806,4717.7384301574,468.97269,4806.4125131717,232.2056205,4629.06434714309,236.7670695
4.64516129032258,4709.5512958497,469.813173,4806.4125131717,232.2056205,4612.6900785277,237.6075525
4.67741935483871,4676.35726205918,473.175105,4780.45775719837,233.466345,4572.25676691999,239.70876
4.7741935483871,4664.39650250843,474.4358295,4780.45775719837,233.466345,4548.33524781849,240.9694845
