"Data for sheet#",2019022513255300,,"date=",19:20:25 HH:20:SS
"AvgMoe", "AvgSG", "AvgMC", "AvgVel", "AvgUPT", "Width", "Skew", "AvgThick", "Temp", "PkMoisture", "pkDensity"
2.10890049511024, 0.514518835311146, 3.83414673259192, 5305.53608367671, 418.93271230885, 60.741935483871, -0.156389992791545, 0.125957185154703, 67.0999400837581, 5.10364620254041, 0.57074142810721

"Wheel data"
"pos","EffVel","effUPT","LeftVel","LeftUPT","RightVel","RightUPT"
0.0645161290322581,5125.38225584886,431.991438,5305.72736491535,210.3530625,4945.03714678237,221.6383755
0.193548387096774,5118.15754067056,432.831921,5337.71830510595,209.092338,4898.59677623517,223.739583
0.32258064516129,5129.75527170055,431.991438,5370.09736490353,207.8316135,4889.41317849756,224.1598245
0.516129032258065,5147.07472183427,430.7307135,5413.88549361699,206.1506475,4880.26395005156,224.580066
0.67741935483871,5119.98257175198,433.2521625,5413.88549361699,206.1506475,4826.07964988697,227.101515
0.774193548387097,5095.66936669976,435.35337,5391.90252888638,206.9911305,4799.43620451314,228.3622395
1,5087.97848829935,436.193853,5402.87165051606,206.570889,4773.08532608263,229.622964
1.16129032258065,5095.86334131944,435.7736115,5436.04844269656,205.3101645,4755.67823994232,230.463447
1.25806451612903,5096.81709251479,436.193853,5480.92320856431,203.6291985,4712.71097646526,232.5646545
1.32258064516129,5071.54367098543,438.715302,5480.92320856431,203.6291985,4662.16413340655,235.0861035
1.41935483870968,5071.54367098543,438.715302,5480.92320856431,203.6291985,4662.16413340655,235.0861035
1.48387096774194,5087.07637461381,437.4545775,5503.63957505318,202.7887155,4670.51317417444,234.665862
1.58064516129032,5685.24651090955,389.5470465,5515.06851803409,202.368474,5855.42450378501,187.1785725
1.64516129032258,5020.94598452766,443.7582,5469.63520213533,204.04944,4572.25676691999,239.70876
1.70967741935484,5034.63396941376,442.4974755,5480.92320856431,203.6291985,4588.3447302632,238.868277
1.80645161290323,5480.92320856431,403.597334942308,5480.92320856431,203.6291985,"",""
1.83870967741935,5469.63520213533,404.430262394174,5469.63520213533,204.04944,"",""
1.96774193548387,5458.39359562948,405.26318984604,5458.39359562948,204.4696815,"",""
2.03225806451613,5436.04844269656,406.929044749773,5436.04844269656,205.3101645,"",""
2.16129032258065,5447.19810353972,406.096117297906,5447.19810353972,204.889923,"",""
2.29032258064516,5447.19810353972,406.096117297906,5447.19810353972,204.889923,"",""
2.38709677419355,5447.19810353972,406.096117297906,5447.19810353972,204.889923,"",""
2.54838709677419,4838.34236040386,463.5095505,5424.94433224421,205.730406,4251.74038856351,257.7791445
2.67741935483871,4765.61486803547,471.494139,5380.97785689398,207.411372,4150.25187917696,264.082767
2.80645161290323,4801.22883078112,467.291724,5391.90252888638,206.9911305,4210.55513267587,260.3005935
2.93548387096774,4750.31509204825,473.175105,5370.09736490353,207.8316135,4130.53281919297,265.3434915
3,5348.46785324745,413.592464364702,5348.46785324745,208.6720965,"",""
3.12903225806452,"","","","","",""
3.16129032258065,"","","","","",""
3.25806451612903,5274.1176074695,419.422956527765,5274.1176074695,211.613787,"",""
3.35483870967742,5242.88226023715,421.921738883364,5242.88226023715,212.8745115,"",""
3.45161290322581,5212.01471018063,424.420521238962,5212.01471018063,214.135236,"",""
3.54838709677419,5171.41896510624,427.752231046427,5171.41896510624,215.816202,"",""
3.70967741935484,5161.36864783387,428.585158498293,5161.36864783387,216.2364435,"",""
3.80645161290323,5151.35731906911,429.418085950159,5151.35731906911,216.656685,"",""
3.87096774193548,5151.35731906911,429.418085950159,5151.35731906911,216.656685,"",""
3.93548387096774,5151.35731906911,429.418085950159,5151.35731906911,216.656685,"",""
4.03225806451613,5033.29607749418,439.555785,5121.55500820599,217.9174095,4945.03714678237,221.6383755
4.06451612903226,5121.55500820599,431.916868305758,5121.55500820599,217.9174095,"",""
4.16129032258065,5111.69738654008,432.749795757624,5111.69738654008,218.337651,"",""
4.35483870967742,5101.87763854052,433.58272320949,5101.87763854052,218.7578925,"",""
4.45161290322581,5092.09554635591,434.415650661356,5092.09554635591,219.178134,"",""
4.58064516129032,5072.64346634812,436.081505565089,5072.64346634812,220.018617,"",""
4.61290322580645,5053.33943677213,437.747360468821,5053.33943677213,220.8591,"",""
4.7741935483871,5034.18177381055,439.413215372553,5034.18177381055,221.699583,"",""
4.90322580645161,5072.64346634812,436.081505565089,5072.64346634812,220.018617,"",""
5.06451612903226,5141.1093762894,430.310472,5111.69738654008,218.337651,5170.52136603871,211.972821
5.19354838709677,5187.075333088,426.5282985,5141.38475237717,217.0769265,5232.76591379884,209.451372
5.32258064516129,5202.09243945254,425.267574,5171.41896510624,215.816202,5232.76591379884,209.451372
5.45161290322581,5228.30504684096,423.1663665,5181.50849908813,215.3959605,5275.10159459379,207.770406
5.54838709677419,5207.90545060594,424.8473325,5151.35731906911,216.656685,5264.45358214278,208.1906475
5.67741935483871,5208.24317348548,424.8473325,5141.38475237717,217.0769265,5275.10159459379,207.770406
5.7741935483871,5193.00429517438,426.108057,5121.55500820599,217.9174095,5264.45358214278,208.1906475
5.80645161290323,5162.08279849163,428.629506,5101.87763854052,218.7578925,5222.28795844274,209.8716135
5.87096774193548,5162.08279849163,428.629506,5101.87763854052,218.7578925,5222.28795844274,209.8716135
6.03225806451613,5143.05267528548,430.310472,5053.33943677213,220.8591,5232.76591379884,209.451372
6.12903225806452,5148.79544185672,429.8902305,5043.74241370381,221.2793415,5253.84847000964,208.610889
6.19354838709677,5143.51420657725,430.310472,5043.74241370381,221.2793415,5243.28599945069,209.0311305
